,Topic,Count,Name
0,-1,184,-1_wfh_have_for_work
1,0,95,0_covid19_wfh_workingfromhome_for
2,1,77,1_wfh_for_can_has
3,2,59,2_workingfromhome_workfromhome_work_wfh
4,3,46,3_home_from_work_wfh
5,4,38,4_wfh_weekend_ho_kya
6,5,23,5_business_workingfromhome_networkmarketing_digitalmarketing
7,6,22,6_lockdown_wfh_for_no
