,Topic,Count,Name
0,0,126,0_workingfromhome_home_from_working
1,-1,117,-1_wfh_from_with_workingfromhome
2,1,105,1_covid19_coronavirus_wfh_home
3,2,90,2_wfh_not_what_be
4,3,47,3_sydney_new_coffee_paddington
5,4,36,4_cat_cats_pets_catsoftwitter
6,5,31,5_link_wide_officechair_fursys
7,6,21,6_zoom_wfh_his_wfhlife
8,7,16,7_culturechamps_friyay_friday_week
9,8,13,8_wales_pendle_hill_new
10,9,12,9_wordpress_wp_first_remotework
11,10,11,10_winter_rain_raining_sun
