,Topic,Count,Name
0,-1,309,-1_wfh_workingfromhome_for_from
1,0,98,0_wfh_with_for_have
2,1,83,1_covid19_coronavirus_wfh_covid
3,2,53,2_workingfromhome_what_for_work
4,3,34,3_coffee_wfh_for_breakfast
5,4,33,4_home_from_work_working
6,5,30,5_fashion_california_north_hollywood
7,6,27,6_los_california_wfh_dogsofinstagram
8,7,23,7_california_workingfromhome_los_whittier
9,8,13,8_remotework_wfh_remote_need
10,9,13,9_zoom_zooms_call_new
11,10,11,10_quarantine_wfh_quarantinelife_haiku
